URL,Performance,SEO,Accessibility,LCP,FCP,TBT,SpeedIndex,CLS,Desktop,Mobile,Performance Average (Desktop),Performance Average (Mobile)
"https://www.nvent.com/en-in/",52.00%,92.00%,90.00%,2.1 s,2.1 s,10 ms,12.9 s,0.479,Yes,No,71.50%,53.33%
"https://www.nvent.com/en-in/",39.00%,92.00%,90.00%,4.0 s,3.8 s,0 ms,11.8 s,0.479,Yes,No,71.50%,53.33%
"https://www.nvent.com/en-in/",54.00%,92.00%,90.00%,2.0 s,1.8 s,0 ms,7.3 s,0.479,Yes,No,71.50%,53.33%
"https://www.nvent.com/en-in/",30.00%,92.00%,86.00%,5.2 s,2.8 s,1,000 ms,12.3 s,0.304,No,Yes,71.50%,53.33%
"https://www.nvent.com/en-in/",48.00%,92.00%,85.00%,5.3 s,2.2 s,800 ms,7.8 s,0.105,No,Yes,71.50%,53.33%
"https://www.nvent.com/en-in/",35.00%,92.00%,86.00%,5.4 s,2.3 s,760 ms,8.4 s,0.304,No,Yes,71.50%,53.33%
"https://www.nvent.com/en-us/",56.00%,85.00%,90.00%,1.8 s,1.8 s,10 ms,14.3 s,0.479,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",55.00%,92.00%,90.00%,1.9 s,1.7 s,0 ms,13.5 s,0.479,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",63.00%,92.00%,90.00%,1.3 s,1.3 s,10 ms,9.5 s,0.479,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",35.00%,92.00%,85.00%,4.0 s,2.9 s,1,020 ms,11.0 s,0.304,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",46.00%,92.00%,86.00%,2.3 s,2.2 s,1,410 ms,29.6 s,0.305,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",18.00%,92.00%,90.00%,8.4 s,7.8 s,1,030 ms,32.0 s,0.305,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-in/caddy",87.00%,92.00%,93.00%,1.3 s,0.9 s,0 ms,3.2 s,0.047,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",98.00%,92.00%,93.00%,1.0 s,0.6 s,0 ms,1.2 s,0.045,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",98.00%,92.00%,93.00%,0.9 s,0.6 s,0 ms,1.1 s,0.045,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",48.00%,92.00%,92.00%,15.2 s,1.9 s,680 ms,5.2 s,0.132,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",63.00%,92.00%,92.00%,15.6 s,1.7 s,200 ms,5.1 s,0.132,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",59.00%,92.00%,92.00%,4.2 s,2.6 s,610 ms,5.3 s,0.122,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-us/",80.00%,92.00%,90.00%,2.0 s,1.6 s,0 ms,2.6 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",92.00%,92.00%,90.00%,1.4 s,1.0 s,0 ms,1.7 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",92.00%,92.00%,90.00%,1.6 s,0.9 s,0 ms,1.5 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",80.00%,92.00%,90.00%,2.3 s,1.7 s,450 ms,4.1 s,0.126,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",58.00%,92.00%,90.00%,17.2 s,1.9 s,300 ms,5.8 s,0.128,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",55.00%,92.00%,90.00%,6.0 s,2.1 s,410 ms,6.8 s,0.129,No,Yes,88.83%,55.89%
"https://www.qed42.com/",75.00%,100.00%,93.00%,2.0 s,1.9 s,0 ms,4.2 s,0.019,Yes,No,80.42%,68.17%
"https://www.qed42.com/",79.00%,100.00%,93.00%,1.7 s,1.6 s,0 ms,4.5 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",82.00%,100.00%,93.00%,1.7 s,1.7 s,0 ms,2.7 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",76.00%,100.00%,93.00%,3.3 s,3.3 s,130 ms,9.0 s,0.001,No,Yes,80.42%,68.17%
"https://www.qed42.com/",73.00%,100.00%,93.00%,3.7 s,3.7 s,130 ms,8.3 s,0,No,Yes,80.42%,68.17%
"https://www.qed42.com/",56.00%,100.00%,93.00%,11.9 s,6.8 s,110 ms,8.7 s,0.001,No,Yes,80.42%,68.17%
"https://www.nvent.com/en-in/caddy",89.00%,92.00%,93.00%,1.2 s,0.6 s,0 ms,3.0 s,0.045,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",94.00%,92.00%,93.00%,1.3 s,0.9 s,0 ms,1.4 s,0.045,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",97.00%,92.00%,93.00%,1.1 s,0.7 s,0 ms,1.3 s,0.045,Yes,No,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",62.00%,92.00%,92.00%,15.1 s,1.8 s,220 ms,4.9 s,0.132,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",58.00%,92.00%,92.00%,15.8 s,2.1 s,300 ms,5.3 s,0.132,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-in/caddy",90.00%,92.00%,92.00%,2.7 s,1.7 s,140 ms,3.4 s,0.112,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-us/",99.00%,92.00%,90.00%,0.7 s,0.5 s,0 ms,1.3 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",99.00%,92.00%,90.00%,0.6 s,0.6 s,0 ms,1.2 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",97.00%,92.00%,90.00%,0.8 s,0.7 s,0 ms,1.5 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",53.00%,92.00%,90.00%,18.3 s,2.2 s,410 ms,6.1 s,0.128,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",50.00%,92.00%,90.00%,17.1 s,2.3 s,500 ms,5.9 s,0.128,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",43.00%,92.00%,90.00%,19.0 s,2.3 s,720 ms,6.9 s,0.128,No,Yes,88.83%,55.89%
"https://www.qed42.com/",78.00%,100.00%,93.00%,1.9 s,1.9 s,0 ms,2.8 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",69.00%,100.00%,93.00%,2.5 s,2.1 s,0 ms,5.2 s,0.019,Yes,No,80.42%,68.17%
"https://www.qed42.com/",84.00%,100.00%,93.00%,1.3 s,1.3 s,0 ms,5.0 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",72.00%,100.00%,93.00%,3.9 s,3.9 s,140 ms,8.0 s,0,No,Yes,80.42%,68.17%
"https://www.qed42.com/",76.00%,100.00%,93.00%,3.6 s,3.6 s,150 ms,6.2 s,0,No,Yes,80.42%,68.17%
"https://www.qed42.com/",77.00%,100.00%,93.00%,3.4 s,3.4 s,120 ms,8.3 s,0.001,No,Yes,80.42%,68.17%
